0,0,---,---
55,1,1489562727,"#EXO<br><br>*О* + 8 индивидуальных обложек, вау<br><br>cr. ohs-hun"
42,0,1489498140,#EXO #Baekhyun<br><br> 💪 👀<br><br>cr. sefuns
90,0,1489496809,#BTS<br><br>cr. gotmeolk
79,3,1489495956,"#BTS<br><br>Чонгук: [пытается напялить трофей на голову Джина]<br>*успех*<br>Чонгук: [на радостях заезжает Хосоку между ног]<br>Джей-Хоуп: [умирает] <br>[в то время, как Джин бессовестно умирает от смеха]<br><br>cr. mintsugakookies"
67,0,1489493363,"#NCT<br><br>Что можно будет увидеть, если увеличить фото Джехена в 10000000000000 раз <br><br>cr. ncttrashaf"
32,0,1489492975,"#бложик_ильджина<br><br>Когда на некоторое время выпал из новостей к-поп из-за шалящего интернета, а по приходу узнаешь новых 100500 скандалах, слухах и прочей фигне. Это же чертов ""синдром к-поп"", когда ты не можешь оставить этот мирок ни на секунду, поскольку, за время твоего отсутствия в нем произойдет масса всего ..."
21,0,1489399012,#EXO<br><br>👀<br><br>cr. sefuns
86,1,1489397817,#BTS<br><br>cr. jungkookandyugyeomwhores
57,0,1489397550,#BTS<br><br>(￣ 3￣)<br><br>cr. yoonmin
103,9,1489381332,#Got7 #Comeback <br><br>✨✨У наших мальчиков камбэк!!✨✨
110,2,1489302021,#BTS<br><br>бантаны и зверушки~<br><br>cr. pretentioustrashcan
107,2,1489301676,#BTS<br><br>cr. ask-bts-stuff
72,1,1489138334,"#EXO<br><br>что происходит, когда счетчик счастья Ким Чонина достигает своего пика хд<br><br>cr. kaizzzi"
90,2,1489138240,#BTS<br><br>Namjoon → Not Today <br><br>cr. gguked
93,3,1489137689,#BTS<br><br>Jimin → Not Today<br><br>cr. gguked
62,0,1489136855,#BTS #art<br><br>cr. totomochi
100,3,1489136817,#BTS<br><br>Taehyung → Not Today <br><br>cr. gguked
61,0,1489136663,"#BTS<br><br>👀<br><br>[заглядывает за дверь]<br>""Оу, прости. "" [задыхается] ""Любопытно? ... Только я могу смотреть""<br><br>cr. jminies"
0,0,---,---
98,5,1489136285,#BTS<br><br>Jungkook → Not Today<br><br>cr. gguked
85,0,1488994020,#BTS<br><br>тот же день ㅜㅜㅜㅜㅜㅜ <br><br>cr. s-wag-suga
74,2,1488993775,#BTS #JHope<br><br>cr. s-wag-suga
27,0,1488993565,#BTS<br><br>cr. yoonggi
77,1,1488993497,#BTS<br><br>cr. s-wag-suga
35,1,1488993273,#BTS<br><br>cr. dearmyjimin
